# seed=1337 config_hash=5fa4d5543ecd68be54445db2d80192b6b9de48a99484383e55fdfe1bbe91521a
episode,epsilon,alpha,mean_reward,winrate_vs_baseline,fallback_rate,role
108999,0.6548396666666667,0.10276753333333333,0.35788000000000025,0.11235955056179775,0.12087647483746689,cop
109000,0.6548396666666667,0.10276753333333333,0.03168000000000003,0.10989010989010989,0.18329153000192938,thief
109999,0.651673,0.10233419999999999,0.32827999999999996,0.12169312169312169,0.1323167341752045,cop
110000,0.651673,0.10233419999999999,0.029180000000000032,0.09844559585492228,0.1555033294163729,thief
110999,0.6485063333333334,0.10190086666666666,0.42978000000000083,0.13903743315508021,0.12013799051315222,cop
111000,0.6485063333333334,0.10190086666666666,0.04062000000000002,0.11224489795918367,0.18093385214007782,thief
111999,0.6453396666666666,0.10146753333333333,0.4509200000000007,0.15625,0.1032986111111111,cop
112000,0.6453396666666666,0.10146753333333333,0.027760000000000052,0.10734463276836158,0.1784924623115578,thief
112999,0.6421730000000001,0.10103419999999999,0.3862400000000006,0.11961722488038277,0.10751633986928105,cop
113000,0.6421730000000001,0.10103419999999999,0.03562000000000006,0.11290322580645161,0.1703535640007563,thief
113999,0.6390063333333333,0.10060086666666666,0.41644000000000003,0.17587939698492464,0.11578947368421053,cop
114000,0.6390063333333333,0.10060086666666666,0.016200000000000013,0.08121827411167512,0.193768056128766,thief
114999,0.6358396666666667,0.10016753333333334,0.38864000000000065,0.1595744680851064,0.12760807878484393,cop
115000,0.6358396666666667,0.10016753333333334,0.06196000000000005,0.15625,0.17512953367875647,thief
115999,0.632673,0.0997342,0.38465999999999995,0.11917098445595854,0.11409231772957103,cop
116000,0.632673,0.0997342,0.05450000000000004,0.11052631578947368,0.20572640509013787,thief
116999,0.6295063333333334,0.09930086666666665,0.44022000000000083,0.17676767676767677,0.11868339635613613,cop
117000,0.6295063333333334,0.09930086666666665,0.045240000000000044,0.0718232044198895,0.20906618313689937,thief
117999,0.6263396666666667,0.09886753333333333,0.38970000000000043,0.13636363636363635,0.11705769391333389,cop
118000,0.6263396666666667,0.09886753333333333,0.04384000000000006,0.09574468085106383,0.19765240439227566,thief
118999,0.623173,0.0984342,0.4312800000000006,0.16753926701570682,0.1073579471065724,cop
119000,0.623173,0.0984342,0.04452000000000006,0.09289617486338798,0.20003739016638625,thief
119999,0.6200063333333334,0.09800086666666666,0.44252000000000047,0.2182741116751269,0.11582647462277092,cop
120000,0.6200063333333334,0.09800086666666666,0.04082000000000011,0.11602209944751381,0.187929165160824,thief
120999,0.6168396666666667,0.09756753333333333,0.41732000000000036,0.1794871794871795,0.12493582064008214,cop
121000,0.6168396666666667,0.09756753333333333,0.03914000000000002,0.10101010101010101,0.16973532796317606,thief
121999,0.613673,0.0971342,0.4674000000000005,0.22282608695652173,0.12034106891701829,cop
122000,0.613673,0.0971342,0.055760000000000046,0.12429378531073447,0.21914816163087003,thief
122999,0.6105063333333334,0.09670086666666666,0.4283400000000009,0.16939890710382513,0.11682242990654206,cop
123000,0.6105063333333334,0.09670086666666666,0.024339999999999976,0.06593406593406594,0.1735328410415857,thief
123999,0.6073396666666667,0.09626753333333332,0.40097999999999995,0.1794871794871795,0.12086992890004182,cop
124000,0.6073396666666667,0.09626753333333332,0.04208000000000005,0.09895833333333333,0.22272074659009333,thief
124999,0.6041730000000001,0.0958342,0.4137600000000004,0.1650485436893204,0.10168501835168502,cop
125000,0.6041730000000001,0.0958342,0.04964000000000004,0.08187134502923976,0.20038603263730478,thief
125999,0.6010063333333333,0.09540086666666667,0.4287800000000005,0.16304347826086957,0.12056921086675292,cop
126000,0.6010063333333333,0.09540086666666667,0.04781999999999998,0.1218274111675127,0.17062755291496473,thief
126999,0.5978396666666668,0.09496753333333333,0.4452800000000008,0.15083798882681565,0.10784906312062861,cop
127000,0.5978396666666668,0.09496753333333333,0.04510000000000005,0.1,0.2236842105263158,thief
127999,0.594673,0.09453419999999998,0.45632000000000056,0.13612565445026178,0.11848673263858482,cop
128000,0.594673,0.09453419999999998,0.03397999999999999,0.10900473933649289,0.18488555643251775,thief
128999,0.5915063333333334,0.09410086666666666,0.41260000000000063,0.175,0.10821175489787412,cop
129000,0.5915063333333334,0.09410086666666666,0.044320000000000095,0.0989010989010989,0.19285714285714287,thief
129999,0.5883396666666667,0.09366753333333333,0.4540200000000006,0.17391304347826086,0.13523711517022555,cop
130000,0.5883396666666667,0.09366753333333333,0.03862000000000005,0.08955223880597014,0.17767175572519084,thief
130999,0.585173,0.09323419999999999,0.43756000000000067,0.17894736842105263,0.1285775309696711,cop
131000,0.585173,0.09323419999999999,0.03518,0.11538461538461539,0.1890595009596929,thief
131999,0.5820063333333334,0.09280086666666665,0.45430000000000065,0.14835164835164835,0.13446771378708552,cop
132000,0.5820063333333334,0.09280086666666665,0.04294000000000002,0.08333333333333333,0.21325323822038672,thief
132999,0.5788396666666666,0.09236753333333332,0.5048800000000008,0.25668449197860965,0.11728120835184362,cop
133000,0.5788396666666666,0.09236753333333332,0.035160000000000045,0.12790697674418605,0.19266935329111495,thief
133999,0.5756730000000001,0.0919342,0.4880800000000008,0.2185792349726776,0.11531258360831179,cop
